ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,METRO,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,AREA,BEDR,COMP,FNSQ,FFNSQ,FPLS,FULB,HAFB,LOTV,PVALU,SALE,FSQFS,STRT,CONPR,SLPR,SQFS,WEIGHT,FUEL,FUEL2,FCONPR,FSLPR,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,AUTH
1,2,2,1,1,0,0,1,1,1,0,2,1,1,3,2,0,3,1,3,2,2,2,2,5,0,2,2,33729,4,201602,0,0,1,2,1,0,374900,0,,201503,0,0,3272,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201408
1,2,2,1,1,0,0,1,1,1,0,2,2,1,2,2,0,2,1,3,2,2,2,2,5,0,2,1,30000,4,0,0,0,1,2,1,0,0,0,,201507,0,0,2500,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,2,1,1,0,2,0,1,1,0,0,2,1,4,0,0,2,1,3,0,2,2,2,5,0,2,2,87120,3,201508,0,0,1,2,1,0,219500,201502,2600,201411,0,0,2600,58,0,0,0,417000,1,0,0,0,0,0,0,0,0,0,0,201410
1,2,2,1,1,0,2,1,2,1,0,2,2,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,5000,3,201411,0,0,1,2,1,0,200000,201507,,201402,0,0,1850,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201401
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,22000,4,0,0,0,1,2,1,0,0,201511,,201506,0,0,2600,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412
1,2,2,1,1,0,0,1,1,1,0,1,1,1,3,2,0,3,1,3,1,2,2,2,1,0,2,1,87120,4,0,1000,0,1,3,1,0,583100,0,,201410,0,0,4800,53,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201405
2,2,1,1,1,0,2,1,2,1,0,2,2,1,2,2,0,1,1,3,2,1,2,2,5,0,2,1,2475,3,0,0,0,0,2,1,0,277000,201509,,201510,0,366500,2322,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201510
2,2,1,1,1,0,2,1,2,1,0,2,0,1,2,2,0,2,1,3,2,1,2,1,5,0,2,1,2475,3,0,0,0,0,2,1,0,277000,201509,,201510,0,366500,2150,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201510
1,2,1,1,1,0,1,1,2,1,1,1,1,1,2,2,0,2,1,3,1,2,1,2,5,7,1,1,0,3,201508,400,0,1,2,1,0,351000,201409,2511,201409,0,0,2511,39,2,0,0,620000,0,0,0,0,0,0,0,0,0,0,0,201409
1,2,2,1,1,0,0,1,1,1,0,2,1,1,3,2,4,2,1,3,2,2,2,2,5,0,2,2,87120,4,201507,0,0,1,3,1,0,290000,0,,201410,0,0,3672,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201409
1,2,1,1,1,0,0,1,2,1,0,1,2,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,0,2,201603,400,0,1,3,1,0,450000,0,,201506,0,0,1945,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,1,1,1,0,1,1,1,1,3,2,1,1,2,2,0,2,1,3,1,1,1,2,5,7,1,1,0,3,201601,0,0,1,2,1,0,146400,201506,2578,201507,0,0,2578,60,3,0,0,459700,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,2,0,2,1,3,2,2,2,2,5,7,1,2,87120,4,201507,0,0,1,2,1,150000,403300,201508,,201411,0,578000,3487,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201411
1,2,2,4,1,0,0,1,1,1,0,0,1,1,2,3,0,3,1,3,2,1,1,2,1,0,2,1,12197,5,0,0,0,2,4,1,0,0,0,,201506,0,0,4876,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,2,1,1,0,2,1,1,1,1,2,2,1,1,2,0,3,1,3,2,1,1,2,5,0,2,1,5600,3,201505,0,0,1,2,1,80000,95000,201506,,201412,0,340000,1700,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201411
1,2,1,1,1,0,0,1,1,1,0,2,1,1,2,2,0,3,1,3,2,1,1,2,5,7,1,1,0,3,201602,0,0,1,2,1,0,185500,0,,201503,0,0,2618,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201501
1,2,2,1,1,0,2,1,1,1,4,2,2,1,2,2,0,2,1,3,1,1,2,2,1,5,1,2,87120,4,0,0,0,2,4,2,0,0,201502,,201504,0,1500000,6844,67,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,201503
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,2,1,3,2,2,2,2,5,0,2,2,26684,3,201411,0,0,0,2,1,80000,160000,201502,,201404,0,350000,2436,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201404
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,2,0,3,1,3,2,2,1,2,5,7,1,1,8712,4,201512,0,0,1,3,1,215000,564000,201511,4212,201412,0,900000,4212,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,2,1,3,2,1,2,2,5,0,2,2,28210,3,201507,0,0,1,2,1,0,175000,201506,2523,201409,0,0,2523,39,2,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,201409
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,3,1,3,2,2,2,2,5,0,2,2,87120,4,201509,0,0,1,2,1,160000,283100,201505,3132,201504,0,578000,3132,34,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201503
